Class Code:,Assignment Name:,Start Time,End Time,Wasted Time (Optional):,Time Spent:,,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,,,Day Count:,Day:,Homework Total:,Day:,SPAN301,ENG301,SOM11/Free/Free Group 1,PHIL250,MATH301,BIO210,HIST301,CHEM230,QUEST,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday times,Tuesday times,Wednesday times,Thursday times,Friday times,Saturday times,Sunday times,,Day of Week:,Time:,Day:,Cumulative Time:
QUEST,Send email to change topic,11:10 PM,11:14 PM,0:00:00,0:04,0,,The Week Ahead: (Schedule):,,,,,,,,,,,9,28,21.02,28,0.25,0.21,0.01,0.34,0.28,0.37,0.17,0.09,0.00,,,1.00,8.00,9.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,28,206.68
CHEM230,Stoichiometry,11:15 PM,11:35 PM,0:00:00,0:20,0,,Monday:,,,,,,,,,,,9,29,-8.88,29,0.28,0.22,0.01,0.36,0.30,0.40,0.17,0.09,0.00,,,1.00,8.00,9.00,4.00,5.00,6.00,7.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,29,197.80
Thursday,DAY,9,7,0:00:00,0:00,1.13,,Tuesday:,,,,,,,,,,,10,30,-6.89,30,0.28,0.22,0.01,0.36,0.30,0.42,0.28,0.09,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,,,,30,190.91
BIO210,Stem Cell Notes,8:35 AM,9:00 AM,0:00:00,0:25,0,,Wednesday:,,,,,,,,,,,10,31,-10.82,31,0.31,0.22,0.01,0.36,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.02,0.00,0.00,0.00,,,,31,180.09
SPAN301,Describo mi casa,9:03 AM,9:40 AM,0:00:00,0:37,0.00,,Thursday:,,,,,,,,,,,10,32,0.03,32,0.31,0.22,0.01,0.36,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,,,32,180.11
PHIL250,Nagel,9:43 AM,9:54 AM,0:00:00,0:11,0,,Friday:,,,,,,,,,,,10,33,-6.99,33,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,33,173.12
PHIL250,Nagel,10:06 AM,10:24 AM,0:00:00,0:18,0,,,,,,,,,,,,,10,34,0.05,34,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,34,173.17
PHIL250,Nagel,5:54 PM,6:14 PM,0:00:00,0:20,0,,,,,,,,,,,,,10,35,0.00,35,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,35,173.17
PHIL250,Nagel (discussion question),10:26 PM,10:34 PM,0:00:00,0:08,0,,,,,,,,,,,,,10,36,0.00,36,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,36,173.17
CHEM230,Stoichiometry,11:20 PM,11:28 PM,0:00:00,0:08,0.00,,,,,,,,,,,,,10,37,0.00,37,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,5.00,6.00,7.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,37,173.17
Friday,DAY,9,8,0:00:00,0:00,0.06,,,,,,,,,,,,,11,38,0.00,38,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,6.00,7.00,,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,,,,38,173.17
ENG301,Crucible,8:22 AM,8:31 AM,0:00:00,0:09,0,,,,,,,,,,,,,11,39,0.00,39,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,6.00,7.00,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,,,39,173.17
Saturday,DAY,9,9,0:00:00,0:00,2.01,,,,,,,,,,,,,12,40,0.00,40,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,40,173.17
ENG301,Crucible,11:44 AM,12:10 PM,0:00:00,0:26,0.00,,,,,,,,,,,,,12,41,0.00,41,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,7.00,,0.00,0.00,0.00,0.00,0.00,0.02,0.00,,,,41,173.17
Sunday,DAY,9,10,0:00:00,0:00,7.18,,,,,,,,,,,,,13,42,0.00,42,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,42,173.17
SPAN301,Creo un Quizlet,11:05 AM,11:20 AM,0:00:00,0:15,0.00,,,,,,,,,,,,,13,43,0.00,43,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,,43,173.17
SPAN301,Mi perfil de identidad correcciones,12:55 PM,1:25 PM,0:00:00,0:30,0.00,,,,,,,,,,,,,13,44,0.00,44,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,,44,173.17
ENG301,Historical Context Research (for Crucible),1:28 PM,2:01 PM,0:00:00,0:33,0,,,,,,,,,,,,,13,45,0.00,45,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,,,45,173.17
PHIL250,Boring & Myopic,2:20 PM,3:34 PM,0:00:00,1:14,0,,,,,,,,,,,,,13,46,0.00,46,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.05,,,,46,173.17
MATH301,Puzzle Write-Up,3:41 PM,6:22 PM,0:00:00,2:41,0,,,,,,,,,,,,,13,47,0.00,47,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.11,,,,47,173.17
MATH301,Puzzle Write-Up,8:00 PM,8:48 PM,0:00:00,0:48,0,,,,,,,,,,,,,13,48,0.00,48,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,,,,48,173.17
BIO210,Dolly & Stem Cell 3,9:05 PM,9:45 PM,0:00:00,0:40,0,,,,,,,,,,,,,13,49,0.00,49,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,,,,49,173.17
PHIL250,Boring & Myopic,10:35 PM,11:42 PM,0:00:00,1:07,0,,,,,,,,,,,,,13,50,0.00,50,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.05,,,,50,173.17
PHIL250,Boring & Myopic (Discussion Point),11:45 PM,11:59 PM,0:00:00,0:14,0,,,,,,,,,,,,,13,51,0.00,51,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,1.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,,51,173.17
Monday,DAY,9,11,0:00:00,0:00,5.07,,,,,,,,,,,,,14,52,0.00,52,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,8.00,9.00,10.00,11.00,12.00,13.00,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,52,173.17
ENG301,Crucible,5:30 PM,5:54 PM,0:00:00,0:24,0.00,,,,,,,,,,,,,14,53,0.00,53,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,,,53,173.17
ENG301,Crucible,10:20 PM,10:27 PM,0:00:00,0:07,0,,,,,,,,,,,,,14,54,0.00,54,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,54,173.17
CHEM230,Yield Problems,10:29 PM,11:17 PM,0:00:00,0:48,0,,,,,,,,,,,,,14,55,0.00,55,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.03,0.00,0.00,0.00,0.00,0.00,0.00,,,,55,173.17
HIST301,Pueblo Indian Reading,11:20 PM,11:38 PM,0:00:00,0:18,0,,,,,,,,,,,,,14,56,0.00,56,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,8.00,9.00,10.00,11.00,12.00,13.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,56,173.17
Tuesday,DAY,9,12,0:00:00,0:00,21.07,,,,,,,,,,,,,15,57,0.00,57,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,9.00,10.00,11.00,12.00,13.00,,0.00,3.00,0.00,0.00,0.00,0.00,0.00,,,,57,173.17
PHIL250,Metaphors,9:55 AM,10:48 AM,0:00:00,0:53,0,,,,,,,,,,,,,15,58,0.00,58,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.04,0.00,0.00,0.00,0.00,0.00,,,,58,173.17
MATH301,Stats #1,5:55 PM,6:14 PM,0:00:00,0:19,0.00,,,,,,,,,,,,,15,59,0.00,59,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,59,173.17
MATH301,Stats #1,7:20 PM,7:44 PM,0:00:00,0:24,0,,,,,,,,,,,,,15,60,0.00,60,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,60,173.17
BIO210,Dolly & Stem Cell 4,9:40 PM,10:52 PM,0:00:00,1:12,0,,,,,,,,,,,,,15,61,0.00,61,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.05,0.00,0.00,0.00,0.00,0.00,,,,61,173.17
SPAN301,Estudiar,10:53 PM,11:17 PM,0:00:00,0:24,0,,,,,,,,,,,,,15,62,0.00,62,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,9.00,10.00,11.00,12.00,13.00,,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,62,173.17
Wednesday,DAY,9,13,0:00:00,0:00,9.07,,,,,,,,,,,,,16,63,0.00,63,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,10.00,11.00,12.00,13.00,,0.00,0.00,4.00,0.00,0.00,0.00,0.00,,,,63,173.17
SPAN301,Estudiar,8:12 AM,8:31 AM,0:00:00,0:19,0,,,,,,,,,,,,,16,64,0.00,64,0.31,0.22,0.01,0.40,0.31,0.46,0.37,0.10,0.00,,,14.00,15.00,16.00,10.00,11.00,12.00,13.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,64,173.17
