Class Code:,Assignment Name:,Start Time,End Time,Wasted Time (Optional):,Time Spent:,,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,,,Day Count:,Day:,Homework Total:,Day:,SPAN401,MATH401,SOM11,ENG301,MATH540,BIO340,CS301,HIST301,QUEST,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,,Monday times,Tuesday times,Wednesday times,Thursday times,Friday times,Saturday times,Sunday times,,Day of Week:,Time:,Day:,Cumulative Time:
HIST301,Read the Middle Ground,8:20 AM,8:30 AM,0:00:00,0:10,0,,,,,,,,,,,,,9,35,0.00,35,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,35,2.14
MATH540,Stats Assignment 2,3:45 PM,4:00 PM,0:00:00,0:15,0,,,,,,,,,,,,,9,36,0.00,36,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,36,2.14
SPAN401,Tarea Tres,8:20 PM,9:30 PM,0:00:00,1:10,0.00,,Monday:,Tuesday:,Wednesday:,,Thursday:,Friday:,,,,,,9,37,0.00,37,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,5.00,0.00,0.00,,0.00,0.00,0.00,0.05,0.00,0.00,0.00,,,,37,2.14
Friday,DAY,9,/8,,0:00,0.09,,Spanish,Anat. and Phys.,Anat. and Phys.,,Free,Spanish,,,,,,10,38,0.00,38,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,38,2.14
ENG301,Read the Crucible,10:03 AM,10:13 AM,0:00:00,0:10,0,,Calculus,SOM,Spanish,,English,Anat. and Phys.,,,,,,10,39,0.00,39,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,,,39,2.14
ENG301,Read the Crucible,12:00 PM,12:13 PM,0:00:00,0:13,0,,Free,Calculus,Stats,,Calculus,Statistics,,,,,,10,40,0.00,40,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,,,40,2.14
Saturday,DAY,9,/9,,0:00,0.15,,English,Adv. Programming,English,,Adv. Programming,History,,,,,,11,41,0.00,41,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,11.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,41,2.14
MATH401,Calc HW #2,3:00 PM,3:40 PM,0:00:00,0:40,0.00,,Stats,History,,,History,Adv. Programming,,,,,,11,42,0.00,42,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,11.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.03,0.00,,,,42,2.14
CS301,App,4:55 PM,5:18 PM,0:00:00,0:23,0.00,,,,,,,,,,,,,11,43,0.00,43,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,11.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.02,0.00,,,,43,2.14
Sunday,DAY,9,/10,,0:00,0.04,,,,,,,,,,,,,12,44,0.00,44,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,44,2.14
ENG301,Read the Crucible,8:30 AM,9:30 AM,0:00:00,1:00,0,,,,,,,,,,,,,12,45,0.00,45,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.04,,,,45,2.14
ENG301,Read the Crucible,10:30 AM,11:39 AM,0:00:00,1:09,0,,,,,,,,,,,,,12,46,0.00,46,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.05,,,,46,2.14
SPAN401,Tarea Cuatro,9:26 PM,10:36 PM,0:00:00,1:10,0,,,,,,,,,,,,,12,47,0.00,47,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,6.00,7.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.05,,,,47,2.14
Monday,DAY,9,/11,,0:00,0.10,,,,,,,,,,,,,13,48,0.00,48,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,7.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,48,2.14
HIST301,Understanding Historical Evidence,11:17 AM,12:10 PM,0:00:00,0:53,0,,,,,,,,,,,,,13,49,0.00,49,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,7.00,8.00,9.00,10.00,11.00,12.00,,0.04,0.00,0.00,0.00,0.00,0.00,0.00,,,,49,2.14
HIST301,Understanding Historical Evidence,10:32 PM,10:50 PM,0:00:00,0:18,0,,,,,,,,,,,,,13,50,0.00,50,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,7.00,8.00,9.00,10.00,11.00,12.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,50,2.14
Tuesday,DAY,9,/12,,0:00,0.10,,,,,,,,,,,,,14,51,0.00,51,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,51,2.14
HIST301,Understanding Historical Evidence,7:35 AM,10:14 AM,0:00:00,2:39,0,,,,,,,,,,,,,14,52,0.00,52,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.11,0.00,0.00,0.00,0.00,0.00,,,,52,2.14
HIST301,Understanding Historical Evidence,1:15 PM,2:18 PM,0:00:00,1:03,0.00,,,,,,,,,,,,,14,53,0.00,53,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.04,0.00,0.00,0.00,0.00,0.00,,,,53,2.14
SPAN401,Tarea Cinco,10:57 PM,11:26 PM,0:00:00,0:29,0,,,,,,,,,,,,,14,54,0.00,54,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,8.00,9.00,10.00,11.00,12.00,,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,54,2.14
Wednesday,DAY,9,/13,,0:00,0.08,,,,,,,,,,,,,15,55,0.00,55,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,55,2.14
SPAN401,Tarea Cinco,7:10 AM,7:26 AM,0:00:00,0:16,0,,,,,,,,,,,,,15,56,0.00,56,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,56,2.14
SOM11,Five Minutes of Silence,7:35 AM,7:50 AM,0:00:00,0:15,0,,,,,,,,,,,,,15,57,0.00,57,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,57,2.14
MATH401,Calc HW #2,4:20 PM,4:40 PM,0:00:00,0:20,0,,,,,,,,,,,,,15,58,0.00,58,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,9.00,10.00,11.00,12.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,,,58,2.14
Thursday,DAY,9,/14,0:00:00,0:00,0.04,,,,,,,,,,,,,16,59,0.00,59,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,59,2.14
MATH401,Calc HW #2,8:31 AM,9:14 AM,0:00:00,0:43,0,,,,,,,,,,,,,16,60,0.00,60,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,,,60,2.14
ENG301,Read Sleepy Hollow,9:16 AM,9:45 AM,0:00:00,0:29,0,,,,,,,,,,,,,16,61,0.00,61,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.02,0.00,0.00,0.00,,,,61,2.14
SPAN401,Tarea Seis,10:50 PM,11:56 PM,0:00:00,1:06,0,,,,,,,,,,,,,16,62,0.00,62,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,10.00,11.00,12.00,,0.00,0.00,0.00,0.05,0.00,0.00,0.00,,,,62,2.14
Friday,DAY,9,/15,0:00:00,0:00,0.05,,,,,,,,,,,,,17,63,0.00,63,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,17.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,63,2.14
SPAN401,Tarea Seis,7:15 AM,7:59 AM,0:00:00,0:44,0,,,,,,,,,,,,,17,64,0.00,64,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,17.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.03,0.00,0.00,,,,64,2.14
SPAN401,Tarea Seis,8:15 AM,8:33 AM,0:00:00,0:18,0,,,,,,,,,,,,,17,65,0.00,65,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,17.00,11.00,12.00,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,,,65,2.14
Sunday,DAY,9,/17,0:00:00,0:00,0.04,,,,,,,,,,,,,18,66,0.00,66,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,66,2.14
SPAN401,Practica,6:35 PM,8:00 PM,0:00:00,1:25,0,,,,,,,,,,,,,18,67,0.00,67,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,13.00,14.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.06,,,,67,2.14
Monday,DAY,9,/18,0:00:00,0:00,0.06,,,,,,,,,,,,,19,68,0.00,68,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,14.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,68,2.14
ENG301,Read Legends of Sleepy Hollow,11:20 AM,12:20,0:00:00,1:00,0,,,,,,,,,,,,,19,69,0.00,69,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,14.00,15.00,16.00,17.00,11.00,18.00,,0.04,0.00,0.00,0.00,0.00,0.00,0.00,,,,69,2.14
ENG301,Read Legends of Sleepy Hollow,1:00 PM,13:20,0:00:00,0:20,0,,,,,,,,,,,,,19,70,0.00,70,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,14.00,15.00,16.00,17.00,11.00,18.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,,,70,2.14
Tuesday,DAY,9,/19,0:00:00,0:00,0.21,,,,,,,,,,,,,20,71,0.00,71,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,71,2.14
HIST301,History Reading,12:40 PM,1:13 PM,0:00:00,0:33,0.00,,,,,,,,,,,,,20,72,0.00,72,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,72,2.14
SPAN401,Tarea Siete,4:35 PM,5:10 PM,0:00:00,0:35,0.00,,,,,,,,,,,,,20,73,0.00,73,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,73,2.14
ENG301,Phyllis Wheatley Poem,9:45 PM,10:27 PM,0:00:00,0:42,0,,,,,,,,,,,,,20,74,0.00,74,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.03,0.00,0.00,0.00,0.00,0.00,,,,74,2.14
MATH540,Stats Project,10:30 PM,10:35 PM,0:00:00,0:05,0.00,,,,,,,,,,,,,20,75,0.00,75,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,16.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,75,2.14
Thursday,DAY,9,/21,0:00:00,0:00,0.12,,,,,,,,,,,,,21,76,0.00,76,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,21.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,76,2.14
MATH540,Stats Project,4:00 PM,4:13 PM,0:00:00,0:13,0,,,,,,,,,,,,,21,77,0.00,77,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,21.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,77,2.14
MATH401,Calc e worksheet,8:45 PM,9:00 PM,0:00:00,0:15,0,,,,,,,,,,,,,21,78,0.00,78,0.43,0.28,0.02,0.73,0.15,0.05,-0.44,0.91,0.00,,,19.00,20.00,15.00,21.00,17.00,11.00,18.00,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,,,,78,2.14
